player_name,batting_matches,innings_batted,runs,balls_faced,dismissals,boundaries,powerplay_runs,powerplay_balls_x,middle_runs,middle_balls,death_runs,death_balls_x,thirty_plus_innings,fifty_plus_innings,batting_std_dev,batting_average,strike_rate,boundary_percent,powerplay_strike_rate,middle_overs_strike_rate,death_overs_strike_rate,batting_consistency_raw,recent_batting_form_raw,bowling_matches,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_runs_conceded,powerplay_balls_y,death_runs_conceded,death_balls_y,maiden_overs,bowling_std_dev,overs_bowled,bowling_average,economy,dot_ball_percent,death_overs_economy,powerplay_economy,wickets_per_match,bowling_consistency_raw,recent_bowling_form_raw,catches,stumpings,run_outs,matches_played,balls_per_match,overs_per_match,role,fielding_impact_raw,recent_form_raw,consistency_raw
N Pooran,43.0,43.0,1381.0,754.0,30.0,208.0,145.0,79.0,717.0,390.0,519.0,285.0,22.0,10.0,24.480516356137645,46.03333333333333,183.15649867374006,27.586206896551722,183.54430379746836,183.84615384615384,182.10526315789474,42.7906976744186,33.604647435897434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2.0,43.0,17.53488372093023,0.0,wicketkeeper,224.0,33.604647435897434,42.7906976744186
Mohammed Siraj,4.0,4.0,16.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,5.477225575051661,8.0,114.28571428571429,14.285714285714286,0.0,0.0,114.28571428571429,0.0,6.1,43.0,966.0,1398.0,50.0,413.0,784.0,588.0,412.0,252.0,0.0,2.7429016748030737,161.0,27.96,8.683229813664596,42.7536231884058,9.80952380952381,8.0,1.1627906976744187,29.069767441860467,15.121527777777779,12.0,0.0,2.0,43.0,3.5,3.744186046511628,bowler,116.0,21.22152777777778,29.069767441860467
S Dube,42.0,42.0,1171.0,778.0,33.0,146.0,6.0,5.0,746.0,532.0,419.0,241.0,17.0,7.0,18.00027422684387,35.484848484848484,150.51413881748073,18.76606683804627,120.0,140.22556390977442,173.85892116182572,33.33333333333333,38.9140625,2.0,18.0,47.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7677669529663689,3.0,47.0,15.666666666666666,11.11111111111111,0.0,0.0,0.5,12.5,10.25,12.0,0.0,0.0,42.0,18.523809523809526,1.5,batter,96.0,49.1640625,45.83333333333333
Ishan Kishan,42.0,42.0,1128.0,765.0,39.0,171.0,658.0,448.0,363.0,262.0,107.0,55.0,17.0,6.0,25.413239711088398,28.923076923076923,147.45098039215685,22.352941176470587,146.875,138.54961832061068,194.54545454545453,32.61904761904762,37.08051470588235,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.16666666666666666,4.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,27.0,3.0,8.0,42.0,18.214285714285715,0.16666666666666666,wicketkeeper,332.0,37.08051470588235,32.61904761904762
YS Chahal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,935.0,1408.0,55.0,265.0,16.0,18.0,332.0,198.0,0.0,2.7587257149521704,155.83333333333334,25.6,9.035294117647059,28.342245989304814,10.06060606060606,5.333333333333333,1.3095238095238095,32.73809523809524,39.0,7.0,0.0,0.0,42.0,0.0,3.7103174603174605,bowler,56.0,39.0,32.73809523809524
TA Boult,9.0,9.0,32.0,33.0,3.0,4.0,0.0,0.0,7.0,5.0,25.0,28.0,0.0,0.0,5.725188012439223,10.666666666666666,96.96969696969697,12.121212121212121,0.0,140.0,89.28571428571429,0.0,5.418181818181818,41.0,894.0,1272.0,51.0,359.0,702.0,564.0,303.0,180.0,0.0,2.671920857110336,149.0,24.941176470588236,8.536912751677852,40.15659955257271,10.1,7.468085106382978,1.2439024390243902,31.097560975609756,45.56707875457876,8.0,0.0,0.0,41.0,3.6666666666666665,3.6341463414634148,bowler,64.0,50.98526057276058,31.097560975609756
CV Varun,3.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.5773502691896258,2.0,20.0,0.0,0.0,0.0,20.0,0.0,0.6666666666666666,41.0,916.0,1214.0,58.0,350.0,243.0,186.0,229.0,166.0,0.0,3.3138245419463828,152.66666666666666,20.93103448275862,7.951965065502184,38.209606986899566,8.27710843373494,7.838709677419355,1.4146341463414633,41.94227287251039,34.83680555555556,8.0,0.0,0.0,41.0,3.3333333333333335,3.7235772357723573,bowler,64.0,35.50347222222222,41.94227287251039
Abhishek Sharma,40.0,40.0,1149.0,621.0,38.0,186.0,720.0,409.0,384.0,193.0,45.0,19.0,18.0,8.0,29.05960938202538,30.236842105263158,185.024154589372,29.95169082125604,176.03911980440097,198.96373056994818,236.8421052631579,37.5,72.98094314222364,15.0,180.0,287.0,4.0,54.0,77.0,48.0,42.0,12.0,0.0,3.3468772462681238,30.0,71.75,9.566666666666666,30.0,21.0,9.625,0.26666666666666666,6.666666666666667,11.027777777777779,19.0,0.0,1.0,40.0,15.525,2.0,all_rounder,162.0,84.00872092000142,44.166666666666664
MP Stoinis,40.0,40.0,956.0,621.0,31.0,133.0,194.0,147.0,486.0,351.0,276.0,123.0,11.0,6.0,27.561399986770798,30.838709677419356,153.9452495974235,21.4170692431562,131.97278911564626,138.46153846153845,224.390243902439,23.75,42.38322192513369,21.0,234.0,401.0,10.0,74.0,81.0,51.0,65.0,27.0,0.0,4.315356598378193,39.0,40.1,10.282051282051283,31.623931623931625,14.444444444444445,9.529411764705882,0.47619047619047616,11.904761904761903,5.315972222222223,9.0,0.0,1.0,40.0,15.525,1.8571428571428572,batter,82.0,47.69919414735591,35.654761904761905
HH Pandya,40.0,40.0,786.0,541.0,32.0,100.0,76.0,68.0,416.0,297.0,294.0,176.0,8.0,2.0,16.735575495915494,24.5625,145.28650646950092,18.484288354898336,111.76470588235294,140.06734006734007,167.04545454545453,15.5,29.920652173913044,37.0,576.0,957.0,28.0,186.0,275.0,162.0,166.0,72.0,0.0,3.6109089802518786,96.0,34.17857142857143,9.96875,32.291666666666664,13.833333333333334,10.185185185185185,0.7567567567567568,18.91891891891892,15.291666666666668,14.0,0.0,3.0,40.0,13.525,2.5945945945945947,all_rounder,142.0,45.21231884057971,34.41891891891892
SP Narine,36.0,36.0,755.0,439.0,31.0,130.0,485.0,290.0,224.0,123.0,46.0,26.0,9.0,4.0,27.496998393186857,24.35483870967742,171.98177676537586,29.612756264236904,167.24137931034483,182.1138211382114,176.92307692307693,20.833333333333332,33.06473416289593,40.0,888.0,1102.0,40.0,290.0,133.0,84.0,123.0,102.0,0.0,2.4421512164693167,148.0,27.55,7.445945945945946,32.65765765765766,7.235294117647059,9.5,1.0,37.64864864864865,34.25,11.0,0.0,2.0,40.0,12.194444444444445,3.7,all_rounder,108.0,67.31473416289593,58.48198198198199
HV Patel,10.0,10.0,40.0,51.0,7.0,3.0,0.0,0.0,19.0,20.0,21.0,31.0,0.0,0.0,4.714045207910317,5.714285714285714,78.43137254901961,5.882352941176471,0.0,95.0,67.74193548387096,0.0,4.625,40.0,839.0,1361.0,54.0,239.0,172.0,102.0,599.0,341.0,0.0,2.7383074428900067,139.83333333333334,25.203703703703702,9.733015494636472,28.486293206197853,10.539589442815249,10.117647058823529,1.35,33.75,22.749547101449277,10.0,0.0,6.0,40.0,5.1,3.4958333333333336,bowler,140.0,27.374547101449277,33.75
H Klaasen,39.0,39.0,1414.0,815.0,31.0,181.0,76.0,49.0,830.0,518.0,508.0,248.0,21.0,9.0,24.74896908934098,45.61290322580645,173.49693251533742,22.208588957055216,155.10204081632654,160.23166023166024,204.83870967741936,44.61538461538461,58.629720279720274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,8.0,39.0,20.897435897435898,0.0,wicketkeeper,260.0,58.629720279720274,44.61538461538461
AR Patel,36.0,36.0,781.0,549.0,28.0,103.0,60.0,50.0,409.0,309.0,312.0,190.0,9.0,3.0,15.832731818148025,27.892857142857142,142.25865209471766,18.761384335154826,120.0,132.36245954692558,164.21052631578948,20.0,37.991119953416145,39.0,762.0,988.0,27.0,245.0,264.0,180.0,60.0,42.0,0.0,3.409909603753886,127.0,36.592592592592595,7.7795275590551185,32.15223097112861,8.571428571428571,8.8,0.6923076923076923,25.953361599030885,18.37152777777778,22.0,0.0,2.0,39.0,15.25,3.2564102564102564,all_rounder,196.0,56.362647731193924,45.953361599030885
KH Pandya,32.0,32.0,430.0,356.0,20.0,47.0,34.0,43.0,257.0,215.0,139.0,98.0,4.0,1.0,16.356783144576738,21.5,120.78651685393258,13.202247191011235,79.06976744186046,119.53488372093024,141.83673469387756,9.6875,20.189323708206686,39.0,726.0,947.0,32.0,230.0,260.0,180.0,82.0,54.0,0.0,2.9252764767004846,121.0,29.59375,7.8264462809917354,31.68044077134986,9.11111111111111,8.666666666666666,0.8205128205128205,28.595465140919686,29.430555555555557,17.0,0.0,0.0,39.0,11.125,3.1025641025641026,all_rounder,136.0,49.61987926376224,38.282965140919686
